Strategy,Pair,Config,Params,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_max_consec_losses,OOS_final_equity
SMA Crossover,GBPUSD=X,7d R2% SL0.7% TP1.5% 10x,"fast=5, slow=20",-75.81,-60.83,2.678,-94.12,25,36.0,22.24,-17.69,4.1,0.45,50.0,23.1,5,2419.22
Keltner Breakout,GBPUSD=X,10d R2% SL1.5% TP3% 10x,"ema_period=15, atr_period=10, atr_mult=1.0",-76.01,-61.05,1.914,-89.81,31,41.9,10.4,-13.6,8.5,0.43,41.2,42.9,3,2398.73
MACD Crossover,EURJPY=X,5d R2% SL0.5% TP1% 10x,"fast=12, slow=26, signal_period=9",-79.79,-65.22,3.955,-99.77,47,27.7,35.31,-18.7,2.2,0.78,21.7,33.3,9,2020.66
Momentum Breakout,EURJPY=X,5d R2% SL0.5% TP1% 10x,"lookback=10, vol_mult=1.0",-80.68,-66.24,2.824,-97.04,22,27.3,38.45,-20.05,2.2,0.61,31.6,0.0,6,1932.1
SMA Crossover,GBPJPY=X,5d R2% SL0.5% TP1% 10x,"fast=5, slow=20",-81.09,-66.71,3.102,-98.77,26,30.8,35.27,-20.03,1.9,0.79,23.1,38.5,11,1891.13
Z-Score Reversion,EURGBP=X,5d R2% SL0.5% TP1% 10x,"lookback=20, z_entry=1.5",-81.34,-67.0,3.342,-98.37,52,42.3,19.17,-16.09,3.3,0.46,60.0,35.1,5,1866.33
SMA Crossover,NZDUSD=X,5d R1% SL1% TP2% 20x,"fast=15, slow=30",-82.03,-67.82,0.944,-91.68,14,28.6,14.41,-19.9,3.5,0.13,42.9,14.3,5,1796.76
Momentum Breakout,AUDUSD=X,7d R1% SL0.7% TP1.5% 10x,"lookback=10, vol_mult=1.0",-84.73,-71.1,2.271,-94.25,29,17.2,14.29,-9.99,2.6,0.14,29.4,0.0,16,1527.08
Triple EMA,AUDUSD=X,7d R2% SL0.7% TP1.5% 10x,"fast=8, medium=21, slow=55",-89.65,-77.65,2.281,-97.32,17,17.6,33.86,-19.98,2.6,0.32,22.2,12.5,6,1034.68
Keltner Breakout,USDJPY=X,10d R2% SL1% TP2% 10x,"ema_period=15, atr_period=10, atr_mult=1.0",-90.41,-78.74,2.657,-99.5,34,26.5,24.46,-19.18,4.5,0.58,35.0,14.3,9,959.3
Momentum Breakout,NZDUSD=X,7d R2% SL0.7% TP1.5% 10x,"lookback=10, vol_mult=1.0",-94.39,-85.09,3.393,-99.67,33,18.2,35.44,-19.97,2.8,0.04,20.0,16.7,16,560.55
Keltner Breakout,GBPJPY=X,10d R2% SL1% TP2% 10x,"ema_period=15, atr_period=10, atr_mult=1.0",-94.66,-85.56,2.554,-98.77,29,27.6,16.7,-17.57,5.9,0.35,40.0,0.0,14,534.17
MACD Crossover,AUDUSD=X,7d R2% SL0.7% TP1.5% 10x,"fast=12, slow=30, signal_period=9",-96.13,-88.32,2.854,-99.3,37,21.6,36.09,-17.57,3.6,0.2,27.8,15.8,7,387.11
