Strategy,Pair,Config,Params,Profitable,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_avg_hold_days,OOS_profit_factor,OOS_long_win_rate,OOS_short_win_rate,OOS_final_equity,OOS_buy_hold_pct
Inside Bar Breakout,EURGBP=X,7d SL0.7% TP1.5%,,True,0.64,0.42,0.989,-49.46,10,60.0,0.5848,-0.6308,6.1,1.31,33.3,100.0,10063.57,4.22
Inside Bar Breakout,GBPUSD=X,5d SL0.5% TP1%,,True,0.13,0.09,1.398,-49.89,18,33.3,1.0034,-0.4415,2.4,1.07,33.3,33.3,10013.44,6.76
Momentum Breakout,EURUSD=X,5d SL0.5% TP1%,"lookback=10, vol_mult=1.0",False,-0.0,-0.0,1.681,-50.29,27,40.7,0.8041,-0.4989,2.0,1.05,50.0,22.2,9999.51,11.29
RSI Reversal,USDCHF=X,10d SL1.5% 3% 10x,"rsi_period=7, oversold=25, overbought=75",False,-0.23,-0.15,1.332,-76.13,15,53.3,13.3315,-13.1318,7.7,1.0,50.0,57.1,9976.55,-11.84
MACD Crossover,GBPJPY=X,10d SL1.5% 3% 10x,"fast=16, slow=30, signal_period=9",False,-0.3,-0.2,1.592,-87.64,37,35.1,13.6691,-9.0166,6.6,0.79,38.9,31.6,9970.44,10.27
Triple EMA,USDCHF=X,5d SL0.5% TP1%,"fast=3, medium=8, slow=21",False,-1.01,-0.67,2.195,-51.06,41,39.0,0.7514,-0.4711,2.3,0.96,18.8,52.0,9899.07,-11.84
Consecutive Candles,NZDUSD=X,7d SL0.7% TP1.5%,n_candles=3,False,-2.02,-1.34,1.813,-53.45,78,38.5,1.1335,-0.6978,2.8,0.97,38.1,38.9,9797.69,2.11
Z-Score Reversion,EURUSD=X,10d SL1.5% TP3%,"lookback=15, z_entry=2.0",False,-3.07,-2.04,1.392,-51.83,21,38.1,1.1419,-0.8952,8.3,0.75,63.6,10.0,9693.45,11.29
Momentum Breakout,USDCAD=X,5d SL1% TP2%,"lookback=20, vol_mult=1.0",False,-3.85,-2.56,1.478,-50.69,18,38.9,0.4189,-0.5901,4.3,0.42,25.0,50.0,9614.92,-1.17
Inside Bar Breakout,USDCHF=X,10d SL1.5% TP3%,,False,-4.21,-2.8,1.148,-52.07,16,37.5,1.327,-1.1862,6.8,0.65,16.7,50.0,9578.54,-11.84
Momentum Breakout,EURGBP=X,10d SL1% TP2%,"lookback=30, vol_mult=1.0",False,-5.42,-3.61,1.037,-51.56,9,11.1,0.4562,-0.7526,6.7,0.07,20.0,0.0,9458.22,4.22
Keltner Breakout,EURJPY=X,10d SL1.5% TP3%,"ema_period=15, atr_period=10, atr_mult=1.0",False,-5.87,-3.91,1.479,-52.35,25,48.0,0.8441,-1.1987,8.0,0.62,57.9,16.7,9413.39,14.92
