Ticker,Strategy,Risk_Config,Params,Beats_BH,OOS_BH_pct,Score,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_profit_factor,OOS_final_equity,OOS_buy_hold_return_pct
COST,Dip Buyer,Trail 20%,"fast_ema=21, slow_ema=75, dip_pct=7, trend_lookback=10",False,5.095665552455064,-0.782,-11.65,-7.87,-0.808,-14.9,2,50.0,0.43,-13.28,0.03,8835.27,5.1
COST,Trend Rider,No stops,"ema_period=20, atr_period=10, atr_mult=2.0, reentry_mult=0.5",False,5.095665552455064,-0.099,-2.07,-1.38,0.021,-21.35,4,50.0,1.86,-5.68,0.29,9792.88,5.1
COST,Trend Rider,Trail 10%,"ema_period=20, atr_period=10, atr_mult=2.5, reentry_mult=0.5",False,5.095665552455064,-0.265,-6.17,-4.12,-0.14,-23.28,5,20.0,3.91,-4.98,0.18,9383.23,5.1
COST,Trend Rider,Trail 15%,"ema_period=20, atr_period=10, atr_mult=2.0, reentry_mult=0.5",False,5.095665552455064,-0.099,-2.07,-1.38,0.021,-21.35,4,50.0,1.86,-5.68,0.29,9792.88,5.1
COST,Trend Rider,Trail 20%,"ema_period=20, atr_period=10, atr_mult=2.0, reentry_mult=0.5",False,5.095665552455064,-0.099,-2.07,-1.38,0.021,-21.35,4,50.0,1.86,-5.68,0.29,9792.88,5.1
COST,Dual Regime,No stops,"fast_sma=75, slow_sma=100, reentry_buffer=1.0",False,5.095665552455064,-0.341,-4.7,-3.13,-0.269,-13.78,2,0.0,0.0,-2.56,0.0,9530.13,5.1
COST,Dual Regime,Trail 10%,"fast_sma=75, slow_sma=175, reentry_buffer=1.0",False,5.095665552455064,-0.139,-1.07,-0.71,-0.051,-7.69,1,0.0,0.0,-1.05,0.0,9892.96,5.1
COST,Dual Regime,Trail 15%,"fast_sma=75, slow_sma=175, reentry_buffer=1.0",False,5.095665552455064,-0.139,-1.07,-0.71,-0.051,-7.69,1,0.0,0.0,-1.05,0.0,9892.96,5.1
COST,Dual Regime,Trail 20%,"fast_sma=75, slow_sma=100, reentry_buffer=1.0",False,5.095665552455064,-0.341,-4.7,-3.13,-0.269,-13.78,2,0.0,0.0,-2.56,0.0,9530.13,5.1
COST,SMA Crossover,No stops,"fast_period=5, slow_period=30",False,5.095665552455064,-0.292,-5.25,-3.51,-0.168,-17.98,10,40.0,2.21,-2.37,0.61,9474.83,5.1
COST,SMA Crossover,Trail 10%,"fast_period=5, slow_period=30",False,5.095665552455064,-0.226,-3.77,-2.51,-0.108,-16.65,10,50.0,1.95,-2.71,0.71,9623.1,5.1
COST,SMA Crossover,Trail 15%,"fast_period=5, slow_period=30",False,5.095665552455064,-0.292,-5.25,-3.51,-0.168,-17.98,10,40.0,2.21,-2.37,0.61,9474.83,5.1
COST,SMA Crossover,Trail 20%,"fast_period=5, slow_period=30",False,5.095665552455064,-0.292,-5.25,-3.51,-0.168,-17.98,10,40.0,2.21,-2.37,0.61,9474.83,5.1
V,Crash Avoider,No stops,"trend_sma=50, confirm_days=7, rsi_exit=30, rsi_reentry=60",False,5.705145491038488,-0.497,-12.96,-8.78,-0.336,-26.1,1,0.0,0.0,-7.05,0.0,8703.99,5.71
V,Crash Avoider,Trail 10%,"trend_sma=75, confirm_days=2, rsi_exit=40, rsi_reentry=60",False,5.705145491038488,-0.734,-12.97,-8.79,-0.965,-17.68,2,0.0,0.0,-5.76,0.0,8702.51,5.71
V,Crash Avoider,Trail 15%,"trend_sma=50, confirm_days=7, rsi_exit=30, rsi_reentry=60",False,5.705145491038488,-0.837,-22.98,-15.87,-1.297,-27.47,2,0.0,0.0,-11.45,0.0,7701.64,5.71
V,Crash Avoider,Trail 20%,"trend_sma=50, confirm_days=7, rsi_exit=30, rsi_reentry=60",False,5.705145491038488,-0.497,-12.96,-8.78,-0.336,-26.1,1,0.0,0.0,-7.05,0.0,8703.99,5.71
V,Dip Buyer,No stops,"fast_ema=15, slow_ema=60, dip_pct=7, trend_lookback=15",False,5.705145491038488,-0.307,-6.04,-4.04,-0.187,-19.7,4,25.0,7.36,-4.32,0.55,9396.27,5.71
V,Dip Buyer,Trail 10%,"fast_ema=15, slow_ema=30, dip_pct=7, trend_lookback=5",False,5.705145491038488,-0.887,-23.54,-16.27,-1.738,-26.55,5,0.0,0.0,-4.91,0.0,7645.82,5.71
V,Dip Buyer,Trail 15%,"fast_ema=15, slow_ema=75, dip_pct=7, trend_lookback=5",False,5.705145491038488,-0.922,-28.07,-19.59,-1.544,-30.45,6,0.0,0.0,-5.28,0.0,7193.01,5.71
V,Dip Buyer,Trail 20%,"fast_ema=15, slow_ema=60, dip_pct=7, trend_lookback=15",False,5.705145491038488,-0.307,-6.04,-4.04,-0.187,-19.7,4,25.0,7.36,-4.32,0.55,9396.27,5.71
